scientific_name,TermTotalTrade,term
Phalaenopsis violacea,90,live
Ariocarpus kotschoubeyanus,90,seeds
Cattleya forbesii,90,live
Daboia russelii,90,shoes
Dendrobium primulinum,90,live
Haageocereus spp.,90,live
Dendrobium secundum,89,live
Ammotragus lervia,89,trophies
Cattleya percivaliana,89,live
Mammillaria marksiana,89,live
Physeter macrocephalus,89,carvings
Stylaster spp.,89,live
Ursus maritimus,89,claws
Caiman crocodilus,88,skin pieces
Lycalopex griseus,88,leather products (small)
Phelsuma dubia,88,live
Nandayus nenday,87,live
Paphiopedilum callosum,87,live
Anguilla anguilla,87,live
Acinonyx jubatus,86,live
Acropora austera,86,live
Cattleya dowiana,86,live
Cyanoliseus patagonus,86,live
Micranthocereus estevesii,86,live
Ploceus cucullatus,86,live
Psittacula cyanocephala,86,live
Dypsis decaryi,86,live
Epiphyllum spp.,86,live
Acipenser schrenckii,85,caviar
Cattleya mossiae,85,live
Cattleya warscewiczii,85,live
Sophronitis wittigiana,85,live
Ornithocephalus spp.,85,live
Salvator rufescens,85,leather products (large)
Mammillaria haageana,84,live
Orthopsittaca manilata,84,live
Phalaenopsis pulcherrima,84,live
Aloe marlothii,84,live
Banksia spp.,84,flowers
Cyanoramphus novaezelandiae,84,live
Encephalartos horridus,84,live
Espostoopsis dybowskii,84,live
Haageocereus pseudomelanostele,84,live
Anas acuta,83,trophies
Bollea spp.,83,live
Cattleya nobilior,83,live
Mammillaria sphaerica,83,live
Nepenthes ampullaria,83,live
Platygyra spp.,83,raw corals
Trioceros rudis,83,live
Trioceros bitaeniatus,82,live
Ursus maritimus,82,trophies
Varanus indicus,82,live
Acropora desalwii,82,live
Bulnesia sarmientoi,82,extract
Cyphastrea spp.,82,live
Graptemys pseudogeographica,82,live
Mammillaria laui,82,live
Oophaga pumilio,82,live
Panthera tigris,81,derivatives
Apodora papuana,81,live
Bulbophyllum lobbii,81,live
Cyclamen persicum,81,live
Vidua chalybeata,81,live
Encyclia cordigera,81,live
Laelia briegeri,81,live
Dendrobium senile,80,live
Hoodia gordonii,80,powder
Liasis mackloti,80,live
Aprosmictus erythropterus,80,live
Cattleya aclandiae,80,live
Mammillaria mystax,80,live
Masdevallia hybrid,80,live
Pachypodium lamerei,80,live
Parodia mammulosa,80,live
Pectinia spp.,80,raw corals
Phragmipedium hybrid,80,live
Sarracenia leucophylla,80,live
Schoenorchis spp.,80,live
Trichosalpinx spp.,80,live
Taxus cuspidata,79,extract
Tayassu pecari,79,skins
Vanda denisoniana,79,live
Aldabrachelys gigantea,79,live
Bulbophyllum putidum,79,live
Cattleya lueddemanniana,79,live
Crocodylus novaeguineae,79,shoes
Galeandra spp.,79,live
Laelia sincorana,79,live
Merulina ampliata,79,raw corals
Pelomedusa subrufa,79,live
Prunus africana,79,extract
Mantella aurantiaca,78,live
Octomeria spp.,78,live
Phragmipedium besseae,78,live
Aratinga pertinax,78,live
Cacatua sanguinea,78,live
Lonchura cucullata,78,live
Dendrobium scabrilingue,77,live
Furcifer verrucosus,77,live
Galanthus elwesii,77,roots
Laelia crispa,77,live
Nepenthes rafflesiana,77,live
Pionites leucogaster,77,live
Polycycnis spp.,77,live
Salvator merianae,77,skin pieces
Aerides odorata,77,live
Bulbophyllum medusae,77,live
Arapaima gigas,76,leather products (large)
Galaxea fascicularis,76,raw corals
Laelia lucasiana,76,live
Tragelaphus eurycerus,76,trophies
Mammillaria compressa,76,live
Merulina spp.,76,live
Oreocereus pseudofossulatus,76,live
Paleosuchus palpebrosus,76,live
Pilosocereus magnificus,76,live
Psephotus varius,76,live
Rhipsalis cereuscula,76,live
Mammillaria columbiana,75,live
Dendrobium formosum,75,live
Gymnocalycium chiquitanum,75,live
Lemur catta,75,live
Acropora aspera,75,live
Acropora florida,75,live
Cattleya guttata,75,live
Crocodylus hybrid,75,leather products (small)
Cyanoramphus auriceps,75,live
Turbinaria reniformis,75,live
Trioceros jacksonii,74,live
Tupinambis spp.,74,skins
Kobus leche,74,skulls
Loxodonta africana,74,leather products (large)
Matucana aureiflora,74,live
Angraecum spp.,74,live
Catasetum spp.,74,live
Chamaeleo jacksonii,74,live
Acropora gemmifera,73,live
Acropora latistella,73,live
Caiman latirostris,73,leather products (small)
Dendrobium anosmum,73,live
Dendrobium draconis,73,live
Grus canadensis,73,meat
Heliopora coerulea,73,raw corals
Hippopotamus amphibius,73,tusks
Siebenrockiella crassicollis,73,live
Mammillaria geminispina,73,live
Meleagris ocellata,73,trophies
Neophema elegans,73,live
Nepenthes ventricosa,73,live
Nyctea scandiaca,73,live
Oena capensis,73,live
Opuntia leucotricha,73,live
Paphiopedilum niveum,73,live
Parodia chrysacanthion,73,live
Ramphastos vitellinus,73,live
Ornithoptera priamus,72,live
Pericopsis elata,72,logs
Poicephalus rufiventris,72,live
Saiga tatarica,72,derivatives
Guibourtia demeusei,72,wood product
Leptailurus serval,72,live
Agapornis canus,72,live
Cacatua ducorpsii,72,live
Turbinicarpus spp.,72,seeds
Vicugna vicugna,72,hair
Sphaeropteris glauca,71,timber pieces
Dendrobium hybrid,71,flowers
Dendrobium unicum,71,live
Gymnocalycium pflanzii,71,live
Gymnocalycium schickendantzii,71,live
Leptotes bicolor,71,live
Lorius lory,71,live
Merulina scabricula,71,live
Moseleya latistellata,71,live
Phoeniconaias minor,71,live
Phragmipedium caudatum,71,live
Promenaea spp.,71,live
Acropora subulata,71,live
Antipathes densa,71,carvings
Blastomussa spp.,71,raw corals
Callithrix jacchus,71,specimens
Cerberus rynchops,71,leather items
Crocodylus spp.,71,leather products (small)
Cyrtopodium spp.,71,live
Dalbergia sissoo,71,wood product
Balaenoptera acutorostrata,70,carvings
Cheloniidae spp.,70,leather items
Dalbergia cochinchinensis,70,logs
Dalbergia nigra,70,wood product
Stylophora spp.,70,raw corals
Trisetella spp.,70,live
Tupinambis teguixin,70,leather products (large)
Mammillaria scrippsiana,70,live
Melocactus matanzanus,70,live
Opuntia ficus-indica,70,live
Rhynchostylis spp.,70,live
Papio ursinus,69,skins
Renanthera spp.,69,live
Salvator rufescens,69,leather items
Agalychnis callidryas,69,live
Ariocarpus retusus,69,live
Cattleya granulosa,69,live
Euplectes afer,69,live
Hippopotamus amphibius,69,skulls
Laelia perrinii,69,live
Lynx lynx,69,skins
Schlumbergera gaertneri,69,live
Sedirea japonica,69,live
Seriatopora hystrix,69,raw corals
Telipogon spp.,69,live
Arapaima gigas,68,live
Bulnesia sarmientoi,68,oil
Ceropegia woodii,68,live
Pterapogon kauderni,68,live
Hatiora spp.,68,live
Laelia anceps,68,live
Laelia tenebrosa,68,live
Ferocactus histrix,67,live
Galanthus nivalis,67,roots
Gonystylus bancanus,67,sawn wood
Leptoseris spp.,67,live
Loxodonta africana,67,shoes
Macaca fascicularis,67,extract
Anodorhynchus hyacinthinus,67,live
Caiman crocodilus fuscus,67,garments
Cereus jamacaru,67,live
Cheloniidae spp.,67,eggs
Vidua orientalis,67,live
Mammillaria matudae,67,live
Nepenthes mirabilis,67,live
Oryx dammah,67,trophies
Pachycereus spp.,67,live
Ramphastos toco,67,live
Naja naja,66,shoes
Pionus fuscus,66,live
Pseudeos fuscata,66,live
Alligator mississippiensis,66,sides
Caiman crocodilus,66,leather items
Cattleya warneri,66,live
Dendrobium bellatulum,66,live
Epidendrum hybrid,66,live
Jumellea spp.,66,live
Varanus exanthematicus,66,leather products (small)
Sarracenia flava,65,live
Testudo marginata,65,live
Ada spp.,65,live
Alisterus amboinensis,65,live
Calumma parsonii,65,live
Cattleya harrisoniana,65,live
Crocodylidae spp.,65,leather products (small)
Mammillaria pectinifera,65,seeds
Masdevallia coccinea,65,live
Mellivora capensis,65,trophies
Melocactus ernestii,65,live
Oreocereus spp.,65,live
Duncanopsammia axifuga,65,raw corals
Estrilda astrild,65,live
Euphorbia mammillaris,65,live
Gongora spp.,65,live
Hoplobatrachus tigerinus,65,meat
Dendrobium aphyllum,64,live
Echinocereus pectinatus,64,live
Hippopotamus amphibius,64,skins
Brassia caudata,64,live
Caracal caracal,64,skins
Stenocactus spp.,64,live
Symphyllia spp.,64,raw corals
Tridacna crocea,64,shells
Trioceros deremensis,64,live
Tubastraea coccinea,64,raw corals
Tyto alba,64,live
Uroplatus sikorae,64,live
Porites lutea,64,live
Ornithoptera paradisea,63,bodies
Paphiopedilum concolor,63,live
Aerides houlletiana,63,live
Agapornis spp.,63,live
Alisterus scapularis,63,live
Alligator mississippiensis,63,jewellery
Blastomussa wellsi,63,raw corals
Boa constrictor,63,leather products (small)
Cattleya luteola,63,live
Cymbidium kanran,63,live
Hippopotamus amphibius,63,leather products (small)
Lynx canadensis,63,skulls
Lynx canadensis,63,trophies
Lynx lynx,63,garments
Macaca nemestrina,63,live
Ursus americanus,63,gall bladders
Seriatopora spp.,62,raw corals
Troides oblongomaculatus,62,bodies
Varanus prasinus,62,live
Acropora robusta,62,live
Acropora selago,62,live
Aquilaria filaria,62,timber
Ascocentrum curvifolium,62,live
Astrophytum spp.,62,live
Caiman crocodilus,62,garments
Coleocephalocereus spp.,62,live
Notylia spp.,62,live
Opuntia phaeacantha,62,live
Pavo cristatus,62,feathers
Echinopsis terscheckii,62,live
Eunectes notaeus,62,shoes
Gomesa spp.,62,live
Huntleya meleagris,62,live
Encyclia fragrans,61,live
Hippocampus comes,61,live
Arctocephalus pusillus,61,garments
Canis lupus,61,live
Cattleya schilleriana,61,live
Caucaea spp.,61,live
Crocodylus siamensis,61,skulls
Dalbergia retusa,61,logs
Trioceros fuelleborni,61,live
Phaius spp.,61,live
Montipora digitata,60,live
Nepenthes veitchii,60,live
Bifrenaria harrisoniae,60,live
Cattleya leopoldii,60,live
Cebus apella,60,live
Cheloniidae spp.,60,carapaces
Coryphantha elephantidens,60,live
Dendrobium findlayanum,60,live
Elephantidae spp.,60,ivory pieces
Espostoa blossfeldiorum,60,live
Falconidae spp.,60,live
Gonystylus bancanus,60,carvings
Tragelaphus spekii,60,trophies
Trioceros werneri,60,live
Trogonoptera brookiana,59,bodies
Vanda coerulea,59,live
Acropora nobilis,59,live
Aerides multiflora,59,live
Ariocarpus trigonus,59,seeds
Bulbophyllum hybrid,59,live
Canis lupus,59,plates
Caulastraea tumida,59,raw corals
Damaliscus lunatus,59,skulls
Pavona spp.,59,raw corals
Phragmipedium schlimii,59,live
Hippopus hippopus,59,carvings
Hippotragus equinus,58,trophies
Leopardus pardalis,58,skins
Alligator mississippiensis,58,meat
Aloe ferox,58,powder
Aquilaria malaccensis,58,derivatives
Cipocereus bradei,58,live
Uromastyx dispar,58,live
Vanilla planifolia,58,live
Verticordia spp.,58,flowers
Orchidaceae spp.,58,roots
Paleosuchus trigonatus,58,live
Ramphastos tucanus,58,live
Mammillaria carmenae,57,live
Mammillaria klissingiana,57,live
Parodia werdermanniana,57,live
Phalaenopsis parishii,57,live
Poicephalus robustus,57,live
Acropora microclados,57,live
Aquila chrysaetos,57,live
Astreopora spp.,57,live
Caracal caracal,57,live
Chelonia mydas,57,carapaces
Crocodylus acutus,57,leather products (small)
Echinocactus platyacanthus,57,live
Echinopsis tarijensis,57,live
Falco biarmicus,57,live
Hydnophora exesa,57,raw corals
Saussurea costus,57,medicine
Troides rhadamantus,57,pupae
Saussurea costus,56,extract
Sophronitis cernua,56,live
Uroplatus fimbriatus,56,live
Alligator mississippiensis,56,bodies
Antipathes spp.,56,carvings
Ara macao,56,feathers
Bulbophyllum flabellum-veneris,56,live
Caracal caracal,56,skulls
Cattleya dormaniana,56,live
Cirrhipathes anguina,56,carvings
Nepenthes bicalcarata,56,live
Parodia ottonis,56,live
Pediocactus bradyi,56,seeds
Polystachya spp.,56,live
Rodriguezia lanceolata,56,live
Eretmochelys imbricata,56,bodies
Galanthus spp.,56,live
Galanthus spp.,56,roots
Gastrochilus spp.,56,live
Geochelone elegans,56,live
Grammatophyllum hybrid,56,live
Grus canadensis,56,bodies
Laelia harpophylla,55,live
Loxodonta africana,55,live
Acropora aculeus,55,live
Acropora pulchra,55,live
Ara hybrid,55,live
Astrophytum capricorne,55,live
Bulnesia sarmientoi,55,sawn wood
Chlorocebus aethiops,55,skulls
Cyathea spp.,55,carvings
Cycloseris spp.,55,live
Thelocactus bicolor,55,live
Turbinicarpus valdezianus,55,seeds
Mammillaria formosa,55,live
Morelia boeleni,55,live
Paphiopedilum philippinense,55,live
Pocillopora damicornis,55,raw corals
Prunus africana,55,bark
Rebutia canigueralii,55,live
Restrepia antennifera,55,live
Rhipsalis hybrid,55,live
Mammillaria melanocentra,54,live
Papio hamadryas,54,skulls
Parodia mueller-melchersii,54,live
Plerogyra turbida,54,raw corals
Pterocarpus erinaceus,54,sawn wood
Python brongersmai,54,garments
Python brongersmai,54,leather products (large)
Renanthera hybrid,54,live
Rodriguezia venusta,54,live
Sarcochilus spp.,54,live
Acineta superba,54,live
Acipenser transmontanus,54,extract
Aerangis spp.,54,live
Agave victoriae-reginae,54,live
Aloe melanacantha,54,live
Aloe vera,54,live
Astrophytum asterias,54,seeds
Cattleya rex,54,live
Chiloschista usneoides,54,live
Chondrorhyncha spp.,54,live
Eunectes notaeus,54,skins
Lynx canadensis,54,bodies
Ferocactus hybrid,53,live
Acipenser hybrid,53,caviar
Capanemia spp.,53,live
Crocodylus niloticus,53,live
Dalbergia sissoo,53,carvings
Millepora spp.,53,raw corals
Odobenus rosmarus,53,bones
Odobenus rosmarus,53,skulls
Ursus americanus,53,rug
Sophronitis brevipedunculata,52,live
Turbinaria peltata,52,raw corals
Ursus americanus,52,skin pieces
Cattleya candida,52,live
Chlorocebus pygerythrus,52,skulls
Cischweinfia spp.,52,live
Cycas circinalis,52,leaves
Dendrobium crepidatum,52,live
Dendrobium densiflorum,52,live
Dendrobium fimbriatum,52,live
Gymnocalycium schroederianum,52,live
Hippopus hippopus,52,live
Indotestudo elongata,52,live
Indotestudo forstenii,52,live
Ornithoptera tithonus,52,bodies
Parodia horstii,52,live
Phragmipedium pearcei,52,live
Plectrophora spp.,52,live
Porites lobata,52,live
Potos flavus,52,live
Primolius auricollis,52,live
Pyrrhura picta,52,live
Python bivittatus,52,skin pieces
Python spp.,52,leather products (small)
Nepenthes truncata,51,live
Odontoglossum harryanum,51,live
Pediocactus peeblesianus,51,seeds
Pilosocereus leucocephalus,51,live
Aloe arborescens,51,derivatives
Aquilaria malaccensis,51,timber
Aratinga aurea,51,live
Australomussa rowleyensis,51,live
Cattleya mendelii,51,live
Sigmatostalix spp.,51,live
Tursiops truncatus,51,live
Ursus maritimus,51,bodies
Dendrobium friedericksianum,51,live
Gymnocalycium horstii,51,live
Heliopora spp.,51,raw corals
Hippocampus kelloggi,51,bodies
Kobus leche,51,skins
Laelia flava,51,live
Loxodonta africana,51,hair products
Loxodonta africana,51,ivory scraps
Dendrobium lindleyi,50,live
Echinopsis backebergii,50,live
Encephalartos lehmannii,50,live
Ferocactus herrerae,50,live
Acanthastrea spp.,50,raw corals
Acropora suharsonoi,50,live
Aratinga canicularis,50,live
Chelonia mydas,50,specimens
Malacochersus tornieri,50,live
Masdevallia infracta,50,live
Moschus moschiferus,50,musk
Mycedium robokaki,50,live
Naja naja,50,skins
Ophiophagus hannah,50,live
Opuntia stricta,50,live
Orchidaceae spp.,50,derivatives
Pionus senilis,50,live
Prionailurus bengalensis,50,live
Rebutia pulvinosa,50,live
Strombocactus disciformis,50,seeds
Tridacna gigas,50,live
Vanda sanderiana,50,live
Varanus beccarii,50,live
Varanus melinus,50,live
Sclerocactus glaucus,49,seeds
Acropora carduus,49,live
Amazona festiva,49,live
Daboia russelii,49,specimens
Dendrobium cruentum,49,live
Embreea rodigasiana,49,live
Eretmochelys imbricata,49,carapaces
Laelia milleri,49,live
Lorius chlorocercus,49,live
Phragmipedium boissierianum,49,live
Phragmipedium longifolium,49,live
Odontoglossum hybrid,48,live
Ornithoptera rothschildi,48,bodies
Ornithoptera victoriae,48,bodies
Otus choliba,48,live
Papilionanthe teres,48,live
Prosthechea spp.,48,live
Ptilopsis leucotis,48,live
Saguinus midas,48,live
Bubalus arnee,48,carvings
Cattleya lawrenceana,48,live
Chalcopsitta duivenbodei,48,live
Comparettia speciosa,48,live
Cyclamen coum,48,live
Dalbergia cochinchinensis,48,timber
Sophronitella violacea,48,live
Troides helena,48,bodies
Ursus arctos,48,bodies
Dracula chimaera,48,live
Echinocereus reichenbachii,48,live
Gastrodia elata,48,roots
Gonystylus bancanus,48,timber
Hippocampus spp.,48,bodies
Lepanthes calodictyon,48,live
Lycalopex griseus,48,skin pieces
Dendrobates leucomelas,47,live
Dendrobium tortile,47,live
Echinophyllia spp.,47,raw corals
Echinopsis oxygona,47,live
Euphorbia ferox,47,live
Fungia fungites,47,raw corals
Goniastrea spp.,47,raw corals
Hydnophora microconos,47,raw corals
Hygrochilus parishii,47,live
Aratinga leucophthalma,47,live
Boa constrictor,47,skins
Bulbophyllum gracillimum,47,live
Caiman crocodilus yacare,47,skin pieces
